rank,word,zipf_frequency,source,current_tier,current_recommended_phase_3,current_recommended_phase_4,suggested_current_tier,selection_bucket,canonical_phase
584,precipitate,2.78,current,1,2,3,,,3
585,placate,2.77,current,2,2,3,,,3
586,zeitgeist,2.77,current,3,2,3,,,3
587,scrutinize,2.76,current,1,2,3,,,3
588,erudite,2.75,current,3,2,3,,,3
589,nebulous,2.75,current,2,2,3,,,3
590,sanguine,2.74,current,3,2,3,,,3
591,serendipity,2.74,current,3,2,3,,,3
592,petulant,2.73,current,3,3,3,,,3
593,standardize,2.72,current,1,3,3,,,3
594,cogent,2.71,current,2,3,3,,,3
595,elucidate,2.7,current,2,3,3,,,3
596,proliferate,2.69,current,2,3,3,,,3
597,quibble,2.69,current,2,3,3,,,3
598,abate,2.68,current,2,3,3,,,3
599,upshot,2.68,current,1,3,3,,,3
600,extrapolate,2.67,current,2,3,3,,,3
601,resplendent,2.67,current,3,3,3,,,3
602,affable,2.66,current,1,3,3,,,3
603,disenchanted,2.66,current,1,3,3,,,3
604,orchestrate,2.66,current,1,3,3,,,3
605,prescient,2.66,current,2,3,3,,,3
606,fallacious,2.64,current,2,3,3,,,3
607,polemic,2.64,current,2,3,3,,,3
608,coalesce,2.63,current,2,3,3,,,3
609,supposition,2.63,current,2,3,3,,,3
610,reticent,2.62,current,2,3,3,,,3
611,implacable,2.61,current,3,3,3,,,3
612,magnanimous,2.61,current,3,3,3,,,3
613,rationalism,2.6,current,2,3,3,,,3
614,wrangle,2.6,current,1,3,3,,,3
615,denigrate,2.59,current,2,3,3,,,3
616,insinuate,2.59,current,1,3,3,,,3
617,diatribe,2.58,current,2,3,3,,,3
618,inexorable,2.57,current,3,3,3,,,3
619,refurbish,2.57,current,1,3,3,,,3
620,scrupulous,2.57,current,3,3,3,,,3
621,ameliorate,2.56,current,2,3,3,,,3
622,delineate,2.56,current,2,3,3,,,3
623,indefatigable,2.55,current,3,3,3,,,3
624,recalcitrant,2.55,current,3,3,3,,,3
625,troubleshoot,2.55,current,1,3,3,,,3
626,dispassionate,2.53,current,2,3,3,,,3
627,unmotivated,2.53,current,1,3,3,,,3
628,accede,2.5,current,2,3,3,,,3
629,ostensible,2.5,current,2,3,3,,,3
630,acquiesce,2.48,current,2,3,3,,,3
631,adjudicate,2.47,current,2,3,3,,,3
632,perfunctory,2.45,current,2,3,4,,,4
633,repudiate,2.45,current,2,3,4,,,4
634,verbose,2.44,current,1,3,4,,,4
635,schadenfreude,2.43,current,3,3,4,,,4
636,exhaustively,2.42,current,1,3,4,,,4
637,ineffable,2.41,current,3,3,4,,,4
638,invective,2.41,current,2,3,4,,,4
639,deride,2.4,current,2,3,4,,,4
640,equanimity,2.4,current,3,3,4,,,4
641,tenable,2.4,current,2,3,4,,,4
642,codify,2.39,current,2,3,4,,,4
643,equivocal,2.37,current,2,3,4,,,4
644,taciturn,2.37,current,3,3,4,,,4
645,attenuate,2.35,current,2,3,4,,,4
646,interdict,2.35,current,3,3,4,,,4
647,galvanize,2.31,current,2,3,4,,,4
648,raison d'être,2.31,current,3,3,4,,,4
649,admonish,2.29,current,2,3,4,,,4
650,intransigent,2.29,current,3,3,4,,,4
651,irascible,2.29,current,2,3,4,,,4
652,promulgate,2.29,current,2,3,4,,,4
653,indolent,2.26,current,2,3,4,,,4
654,sonorous,2.26,current,3,3,4,,,4
655,repercussion,2.25,current,1,3,4,,,4
656,truncate,2.24,current,1,3,4,,,4
657,amalgamate,2.23,current,2,3,4,,,4
658,misanthrope,2.2,current,3,3,4,,,4
659,decommission,2.18,current,1,3,4,,,4
660,verisimilitude,2.18,current,3,3,4,,,4
661,ebullient,2.17,current,3,3,4,,,4
662,redoubtable,2.16,current,3,3,4,,,4
663,assiduous,2.15,current,2,3,4,,,4
664,juxtapose,2.15,current,2,3,4,,,4
665,obsequious,2.14,current,3,3,4,,,4
666,simulacrum,2.13,current,3,3,4,,,4
667,syllogism,2.12,current,2,3,4,,,4
668,garrulous,2.11,current,2,3,4,,,4
669,loquacious,2.11,current,3,3,4,,,4
670,obviate,2.11,current,2,3,4,,,4
671,diffident,2.1,current,3,3,4,,,4
672,dulcet,2.09,current,3,3,4,,,4
673,abrogate,2.08,current,2,3,4,,,4
674,mellifluous,2.08,current,3,3,4,,,4
675,phlegmatic,2.07,current,3,3,4,,,4
676,demarcate,2.04,current,2,3,4,,,4
677,truculent,2.01,current,3,3,4,,,4
678,interpolate,2,current,2,3,4,,,4
679,adventitious,1.96,current,2,3,4,,,4
680,coagulate,1.94,current,3,3,4,,,4
681,ramification,1.94,current,1,3,4,,,4
682,supercilious,1.94,current,3,3,4,,,4
683,apprise,1.9,current,2,3,4,,,4
684,explicate,1.84,current,2,3,4,,,4
685,exigency,1.83,current,2,3,4,,,4
686,sagacious,1.8,current,3,3,4,,,4
687,stratify,1.78,current,2,3,4,,,4
688,circumscribe,1.75,current,2,3,4,,,4
689,perspicacious,1.7,current,3,3,4,,,4
690,burgeon,1.65,current,2,3,4,,,4
691,weltanschauung,1.65,current,3,3,4,,,4
692,obstreperous,1.64,current,3,3,4,,,4
693,insouciant,1.63,current,3,3,4,,,4
694,disambiguate,1.62,current,2,3,4,,,4
695,reprobation,1.56,current,3,3,4,,,4
696,propitiate,1.53,current,3,3,4,,,4
697,upbraid,1.45,current,3,3,4,,,4
698,desiccate,1.38,current,3,3,4,,,4
699,complaisant,1.36,current,2,3,4,,,4
700,inefficacious,0,current,3,3,4,,,4
